STORE_NM,ADDR,UPJONG_DESC
박샵,"충북 진천군 진천읍 남산길  79-0, 2층 (읍내리)",매칭표_매핑

이승기골프레슨,"서울 송파구  문정로4길  10-15, 103호 (문정동,남서울타운)",SEARCH_ADD

샤이닝케어,"서울 서초구  바우뫼로18길  20-0, 101동 603호 (양재동,양재리본타워1단지)",

제이학원,"인천 중구  하늘중앙로195번길  23-0, 602호 (중산동,하늘프라자)",

강진교SNS경영연구소,"광주 북구  무진성길  14-0, 1층 (두암동)",SEARCH_ADD

이은비영어교습소,"대구 달성군 다사읍 다사로  50-0, 401동 202호 (매곡리,죽곡삼정그린코아더베스트)",SEARCH

넘버원채널,"인천 서구  중봉대로612번길  10-20, 2층 (청라동)",매칭표_매핑

문가네분식집,"전남 영광군 영광읍 현암길  64-2, (남천리)",SEARCH

대구이글스 아이스하키,"대구 달서구  파도고개로  207-0, 지하층 (두류동)",

풀무원녹즙,"울산 남구  돋질로37번길  30-0, (신정동)",FRAN

아오리라멘 인천계양점,"인천 계양구  계양문화로  119-0, 지동101-1층 의 일부 개러지키친7호 (용종동)",SEARCH

신지 주식회사,"경기 부천시  지봉로  53-0, (역곡동)",매칭표_매핑

경애콜렉션,"서울 성동구  연무장13길  3-0, 201호 (성수동2가)",매칭표_매핑

환호비욘드어학원,"경북 포항시 북구  삼호로  395-0, (환호동,3층)",SEARCH_ADD

플라밍고,"경기 수원시 권선구  서둔로  12-0, 다동 212호 (고색동,연안아파트)",

시그니처아레나,"경기 안산시 단원구  초지2로  67-17, 2층 (초지동)",SEARCH

도무지(DOMOOJI),"제주 제주시 한경면 노을해안로  1166-0, (고산리)",

통뼈감자탕,"경남 김해시  활천로267번길  38-0, (삼방동)",FRAN

뮤직엔젤스피아노,"경기 하남시  대청로116번길  30-0, 111동 103호 (창우동,은행동부아파트)",

잉글리시아이(명동사랑채점),"경남 양산시  대운로  145-0, 103동 203호 (명동,명동삼한사랑채아파트)",JHY_EDIT

엘팍맥주상회 김해장유점,"경남 김해시  번화1로44번길  32-0, 202,203호 (대청동,대청프라자)",SEARCH

에이제이(AJ)공조,"경기 부천시  부천로39번길  11-0, 605호 (심곡동)",JHY_EDIT

주식회사제일렌트카강남영업소,"서울 강서구  마곡중앙5로1길  20-0, 518호 (마곡동,마곡나루역보타닉비즈타워)",SEARCH_ADD

최광춘,"서울 양천구  목동중앙남로16마길  35-5, 301호 (목동)",

푸라닭 인천산곡2동점,"인천 부평구  부흥로123번길  43-0, 1층 (산곡동)",SEARCH_ADD

지에스(GS)25 울산온양점(상품권),"울산 울주군 온양읍 온양로  159-0, 1층 (대안리)",JHY_EDIT

제이스카페,"경남 창원시 마산회원구  봉양로  73-0, 1층 (봉암동)",SEARCH_ADD

수림식당 화명동,"부산 북구  화명대로94번길  116-0, 201호 (화명동)",한식_SUB

기성공조시스템,"강원 강릉시  명륜로128번길  5-0, 1층 (포남동)",JHY_EDIT

