store_no,store_nm,addr,category,telephone,address,roadAddress,mapx,mapy,description,link,Correct
16409,캐슬라,인천광역시 남동구 고잔동,숙박>호텔,,부산광역시 중구 남포동5가 86-2,부산광역시 중구 자갈치로47번길 5-13 라운지26,493995,278109,,https://lounge26hotel.modoo.at,X
16436,주식회사 금화,경기도 양평군 지평면 지평리,"제조업>전자,전기",,전라남도 강진군 신전면 수양리,,282746,213573,,,X
16461,호텔 로이,부산광역시 연제구 연산동,"도시락,컵밥>다이어트,샐러드",,대전광역시 유성구 궁동 425-1 1층,대전광역시 유성구 대학로151번길 22 1층,341889,418085,,https://www.instagram.com/hellosalad_coffee,X
16662,태광플라워양주지점,경기도 양주시 장흥면 삼하리,반려동물>애견용품,,충청북도 청주시 흥덕구 송정동 70-60 HS비즈타워 905호,충청북도 청주시 흥덕구 직지대로 442 HS비즈타워 905호,350295,449334,,http://www.mungemarket.co.kr/,X
16827,이노뷰티살롱,충청남도 천안시 서북구 불당동,,,,,,,,,X
16948,GS25 동탄아이파크점,경기도 화성시 반송동,,,,,,,,,X
16964,더한미에스테틱,인천광역시 부평구 삼산동,,,,,,,,,X
17048,머들러,부산광역시 수영구 민락동,"미용>네일아트,네일샵",,경기도 수원시 장안구 천천동 516,"경기도 수원시 장안구 천천로 100 , 1층 115호",310139,522567,,https://www.instagram.com/yoonbeautylab,X
17088,친구야 생고기먹자,경상북도 고령군 다산면 상곡리,,,,,,,,,X
17367,(주)이스트샤인,인천광역시 서구 원창동,,,,,,,,,X
17375,쉼(동네친구),서울특별시 관악구 봉천동,교습학원>수학학원,,경기도 성남시 분당구 정자동 15-1 폴라리스빌딩2 6층,경기도 성남시 분당구 성남대로 389 폴라리스빌딩2 6층,321148,530251,,https://blog.naver.com/junilblog,X
17748,지니마켓,경상북도 포항시 북구 용흥동,,,,,,,,,X
17951,탐나는스낵 삼양점,서울특별시 강북구 미아동,"미용>피부,체형관리",,경상남도 창원시 진해구 용원동 1343-5,경상남도 창원시 진해구 신항4로 47-14,474657,276861,,,X
17990,인생쪽갈비&숯불고기,대전광역시 서구 관저동,,,,,,,,,X
18053,바벨PC시즌2,부산광역시 금정구 구서동,음식점>한식,,강원도 화천군 사내면 광덕리 산273-104,강원도 화천군 사내면 가화로 6 도마치 늘푸른 칡골쉼터,352118,604339,,,X
